Time:31.6625249386   TIMDs:707
Time:20.8476018906   TIMDs:808
Time:21.7557911873   TIMDs:909
Time:31.5237009525   TIMDs:1010
Time:33.2853808403   TIMDs:1111
Time:49.8862860203   TIMDs:1212
Time:29.9476628304   TIMDs:1313
Time:38.2504448891   TIMDs:1414
Time:32.2628970146   TIMDs:1515
Time:41.4915049076   TIMDs:1616
Time:56.9383020401   TIMDs:1717
Time:56.0635750294   TIMDs:1818
Time:45.6264100075   TIMDs:1919
Time:57.812060833   TIMDs:2020
Time:44.7944550514   TIMDs:2121
Time:54.2441370487   TIMDs:2222
Time:43.2803909779   TIMDs:2323
Time:57.7047359943   TIMDs:2424
Time:53.4398188591   TIMDs:2525
Time:61.0962758064   TIMDs:2627
Time:58.7069528103   TIMDs:2729
Time:60.7676861286   TIMDs:2831
Time:61.6485569477   TIMDs:2933
Time:80.9995839596   TIMDs:3035
Time:74.8152208328   TIMDs:3137
Time:78.7541298866   TIMDs:3239
Time:67.4920289516   TIMDs:3341
Time:78.8432672024   TIMDs:3443
Time:78.5333240032   TIMDs:3545
Time:75.6929159164   TIMDs:3647
Time:78.4151668549   TIMDs:3749
Time:86.7954099178   TIMDs:3851
Time:87.098361969   TIMDs:3953
Time:38.0261809826   TIMDs:102
Time:27.2349259853   TIMDs:204
Time:24.2276079655   TIMDs:306
Time:20.6415519714   TIMDs:408
Time:22.5259308815   TIMDs:510
Time:30.4286708832   TIMDs:612
Time:22.4427070618   TIMDs:714
Time:26.9470098019   TIMDs:816
Time:39.7690961361   TIMDs:918
Time:51.1029999256   TIMDs:1020
Time:37.9248018265   TIMDs:1122
Time:28.7076749802   TIMDs:1224
Time:38.3629012108   TIMDs:1326
Time:32.1650080681   TIMDs:1428
Time:48.5085859299   TIMDs:1530
Time:43.2656548023   TIMDs:1632
Time:46.2995331287   TIMDs:1734
Time:40.7611169815   TIMDs:1836
Time:53.6733260155   TIMDs:1938
Time:43.5428159237   TIMDs:2040
Time:52.6016948223   TIMDs:2142
Time:42.8996081352   TIMDs:2244
Time:54.0730388165   TIMDs:2346
Time:49.341917038   TIMDs:2448
Time:68.9277908802   TIMDs:2550
Time:61.7247262001   TIMDs:2652
Time:68.5022549629   TIMDs:2754
Time:61.2086470127   TIMDs:2856
Time:67.356415987   TIMDs:2958
Time:68.694258213   TIMDs:3060
Time:63.124311924   TIMDs:3162
Time:69.5226299763   TIMDs:3264
Time:73.1550898552   TIMDs:3366
Time:79.8614411354   TIMDs:3468
Time:87.1254661083   TIMDs:3570
Time:76.7229130268   TIMDs:3672
Time:78.4339849949   TIMDs:3774
Time:84.3421630859   TIMDs:3876
Time:114.530486107   TIMDs:3978
Time:88.8369791508   TIMDs:4080
Time:81.4146058559   TIMDs:4182
Time:89.1978349686   TIMDs:4284
Time:84.0041439533   TIMDs:4386
Time:88.1751170158   TIMDs:4488
Time:94.2770218849   TIMDs:4590
Time:91.600509882   TIMDs:4692
Time:91.4454460144   TIMDs:4794
Time:97.5645198822   TIMDs:4896
Time:93.6664958   TIMDs:4998
Time:101.757358074   TIMDs:5100
Time:101.220468044   TIMDs:5202
Time:96.4021720886   TIMDs:5304
Time:100.043931007   TIMDs:5406
Time:100.806816101   TIMDs:5508
Time:108.302130938   TIMDs:5610
Time:118.18384409   TIMDs:5712
Time:25.0270650387   TIMDs:101
Time:26.3301320076   TIMDs:202
Time:28.1981949806   TIMDs:303
Time:36.9100148678   TIMDs:404
Time:20.7203791142   TIMDs:505
Time:26.8272459507   TIMDs:606
Time:38.7504310608   TIMDs:707
Time:29.9886529446   TIMDs:808
Time:28.4611449242   TIMDs:101
Time:70880.5258441   TIMDs:101
Time:37.3939740658   TIMDs:202
Time:37.5794439316   TIMDs:303
Time:42.0914969444   TIMDs:404
Time:40.4880928993   TIMDs:505
Time:55.9822049141   TIMDs:606
Time:46.9492080212   TIMDs:707
Time:58.184969902   TIMDs:808
Time:41.4655559063   TIMDs:909
Time:52.6701529026   TIMDs:1010
Time:48.3655121326   TIMDs:1111
Time:55.6714549065   TIMDs:1212
Time:53.1206519604   TIMDs:1313
Time:63.9100251198   TIMDs:1414
Time:65.3574719429   TIMDs:1515
Time:66.8191509247   TIMDs:1616
Time:71.1323039532   TIMDs:1717
Time:71.7684121132   TIMDs:1818
Time:65.3634381294   TIMDs:1919
Time:75.6904349327   TIMDs:2020
Time:74.2020690441   TIMDs:2121
Time:81.8305909634   TIMDs:2222
Time:84.1954369545   TIMDs:2323
Time:80.4403591156   TIMDs:2424
Time:84.9532179832   TIMDs:2525
Time:85.492374897   TIMDs:2626
Time:82.6871747971   TIMDs:2727
Time:86.62915802   TIMDs:2828
Time:84.2618238926   TIMDs:2929
Time:86.5320460796   TIMDs:3030
Time:91.434191227   TIMDs:3131
Time:60.379349947   TIMDs:509
Time:49.0673091412   TIMDs:1018
Time:46.6034011841   TIMDs:1527
Time:67.3571019173   TIMDs:509
Time:45.1869959831   TIMDs:509
Time:44.1043200493   TIMDs:1018
Time:66.0509700775   TIMDs:1527
Time:72.280714035   TIMDs:2036
Time:90.2283608913   TIMDs:2545
Time:83.3747279644   TIMDs:3054
Time:101.811760902   TIMDs:3563
Time:15.2317759991   TIMDs:5
Time:15.2753739357   TIMDs:10
Time:17.7488441467   TIMDs:15
Time:18.9498229027   TIMDs:20
Time:21.7373380661   TIMDs:25
Time:18.2604351044   TIMDs:30
Time:19.0791590214   TIMDs:35
Time:21.388890028   TIMDs:40
Time:22.5460979939   TIMDs:45
Time:22.7133190632   TIMDs:50
Time:24.1809220314   TIMDs:55
Time:24.2425611019   TIMDs:60
Time:28.1781949997   TIMDs:65
Time:28.740170002   TIMDs:70
Time:31.9943931103   TIMDs:75
Time:36.1303470135   TIMDs:80
Time:30.9428339005   TIMDs:85
Time:30.0616629124   TIMDs:90
Time:31.0922579765   TIMDs:95
Time:15.7521481514   TIMDs:8
Time:15.0180599689   TIMDs:16
Time:17.8198990822   TIMDs:24
Time:18.7883610725   TIMDs:32
Time:24.4261670113   TIMDs:40
Time:21.4781599045   TIMDs:48
Time:25.9672131538   TIMDs:56
Time:32.5918591022   TIMDs:67
Time:36.5534768105   TIMDs:78
Time:34.1326489449   TIMDs:89
Time:31.8718340397   TIMDs:100
Time:34.9352309704   TIMDs:111
Time:33.4445841312   TIMDs:122
Time:42.8937880993   TIMDs:137
Time:47.2932360172   TIMDs:153
Time:51.6047608852   TIMDs:170
Time:50.0063009262   TIMDs:187
Time:55.6669220924   TIMDs:204
Time:49.5047709942   TIMDs:221
Time:60.4400689602   TIMDs:238
Time:53.9810431004   TIMDs:255
Time:58.6700570583   TIMDs:272
Time:66.9731121063   TIMDs:289
Time:68.5568168163   TIMDs:306
Time:73.1811089516   TIMDs:323
Time:93.8867609501   TIMDs:343
Time:109.327517033   TIMDs:366
Time:96.3774950504   TIMDs:389
Time:133.301618814   TIMDs:412
Time:46.1498110294   TIMDs:35
Time:45.3544549942   TIMDs:70
Time:53.2510139942   TIMDs:111
Time:41.5529589653   TIMDs:152
Time:48.0846722126   TIMDs:193
Time:70.3106820583   TIMDs:234
Time:91.4714097977   TIMDs:275
Time:64.5323739052   TIMDs:316
Time:62.8340308666   TIMDs:41
Time:50.475249052   TIMDs:47
Time:34.9850389957   TIMDs:94
Time:56.0319218636   TIMDs:141
Time:41.0319030285   TIMDs:188
Time:53.4087789059   TIMDs:235
Time:68.7217600346   TIMDs:284
Time:54.250328064   TIMDs:337
Time:45.7114779949   TIMDs:390
Time:64.7469320297   TIMDs:443
Time:68.4399459362   TIMDs:496
Time:65.2784500122   TIMDs:59
Time:95.0152997971   TIMDs:118
Time:113.921630144   TIMDs:177
Time:60.4186811447   TIMDs:239
Time:43.0913619995   TIMDs:301
Time:55.1433060169   TIMDs:363
Time:63.4303469658   TIMDs:425
Time:71.5342979431   TIMDs:487
Time:56.0033209324   TIMDs:549
Time:72.5963668823   TIMDs:614
Time:105.933782816   TIMDs:679
Time:98.3561859131   TIMDs:744
Time:127.614470959   TIMDs:809
Time:91.2153120041   TIMDs:877
Time:127.254549026   TIMDs:945
Time:138.350934029   TIMDs:1013
Time:103.203139067   TIMDs:1081
Time:83.8896098137   TIMDs:89
Time:61.2496631145   TIMDs:178
Time:70.9403100014   TIMDs:273
Time:63.3798530102   TIMDs:95
Time:86.549612999   TIMDs:190
Time:95.6710739136   TIMDs:285
Time:104.242330074   TIMDs:101
Time:54.8385879993   TIMDs:202
Time:33.4137320518   TIMDs:309
Time:36.0304949284   TIMDs:107
Time:25.5843698978   TIMDs:214
Time:43.0402719975   TIMDs:321
Time:37.1669070721   TIMDs:428
Time:71.5341660976   TIMDs:540
Time:74.9872429371   TIMDs:653
Time:62.3020720482   TIMDs:766
Time:52.4339110851   TIMDs:879
Time:116.765586138   TIMDs:992
Time:106.181993008   TIMDs:1110
Time:94.8240909576   TIMDs:1229
Time:51.1913628578   TIMDs:119
Time:38.9576830864   TIMDs:238
Time:63.1509928703   TIMDs:357
Time:48.69917202   TIMDs:476
Time:55.2684268951   TIMDs:595
Time:78.0132339001   TIMDs:714
Time:66.808578968   TIMDs:833
Time:60.4560170174   TIMDs:952
Time:124.779921055   TIMDs:1071
Time:96.8024818897   TIMDs:1193
Time:63.625617981   TIMDs:1318
Time:69.5291190147   TIMDs:127
Time:55.3466801643   TIMDs:258
Time:94.6430289745   TIMDs:389
Time:114.760179996   TIMDs:520
Time:107.520480156   TIMDs:657
Time:107.48704195   TIMDs:794
Time:81.7924320698   TIMDs:931
Time:115.489403009   TIMDs:1072
Time:130.294337034   TIMDs:1215
Time:134.640852928   TIMDs:1358
Time:146.279139996   TIMDs:1502
Time:163.58987093   TIMDs:1651
Time:67.2356500626   TIMDs:154
Time:93.9276530743   TIMDs:310
Time:81.9928808212   TIMDs:471
Time:88.2371048927   TIMDs:161
Time:89.2971401215   TIMDs:322
Time:69.1538250446   TIMDs:484
Time:78.4785871506   TIMDs:651
Time:107.176209211   TIMDs:818
Time:70.6973869801   TIMDs:985
Time:80.6901021004   TIMDs:1153
Time:79.3716669083   TIMDs:1326
Time:69.145209074   TIMDs:1499
Time:83.7849729061   TIMDs:1672
Time:107.482053041   TIMDs:1845
Time:102.652925968   TIMDs:2018
Time:107.364746094   TIMDs:2191
Time:51.2357831001   TIMDs:178
Time:37.788173914   TIMDs:356
Time:69.2080368996   TIMDs:534
Time:273.205361843   TIMDs:180
Time:64.7598001957   TIMDs:185
Time:70.3868210316   TIMDs:370
Time:108.598989964   TIMDs:556
Time:127.964475155   TIMDs:746
Time:53.0883910656   TIMDs:191
Time:64.5818450451   TIMDs:384
Time:89.8992369175   TIMDs:580
Time:64.7572450638   TIMDs:776
Time:73.272988081   TIMDs:973
Time:93.9832489491   TIMDs:1170
Time:51.1775810719   TIMDs:199
Time:75.7047350407   TIMDs:402
Time:82.8256077766   TIMDs:605
Time:76.8176290989   TIMDs:808
Time:86.8871929646   TIMDs:1011
Time:65.8824839592   TIMDs:1216
Time:57.2481789589   TIMDs:1425
Time:63.9761459827   TIMDs:1634
Time:65.0323591232   TIMDs:1843
Time:68.5965108871   TIMDs:2052
Time:70.2719080448   TIMDs:215
Time:56.0560929775   TIMDs:430
Time:45.4153780937   TIMDs:646
Time:90.4492928982   TIMDs:867
Time:95.3481299877   TIMDs:1088
Time:62.053180933   TIMDs:1309
Time:59.994410038   TIMDs:1530
Time:83.0818469524   TIMDs:1751
Time:89.3876059055   TIMDs:1972
Time:84.116697073   TIMDs:2196
Time:103.104429007   TIMDs:2423
Time:120.893996   TIMDs:2650
Time:98.4842619896   TIMDs:2877
Time:101.963989019   TIMDs:3104
Time:114.648056984   TIMDs:3337
Time:146.292835951   TIMDs:3570
Time:104.532108068   TIMDs:3803
Time:119.819617033   TIMDs:4038
Time:107.91885519   TIMDs:4276
Time:123.963460922   TIMDs:4514
Time:110.627964973   TIMDs:4752
Time:137.385850906   TIMDs:4995
Time:120.114410877   TIMDs:5240
Time:138.533813953   TIMDs:5485
Time:152.257751942   TIMDs:5734
Time:144.280529976   TIMDs:5985
Time:177.956258059   TIMDs:6238
Time:143.689193964   TIMDs:6495
Time:203.311115026   TIMDs:6754
Time:52.0737879276   TIMDs:263
Time:64.2128138542   TIMDs:532
Time:81.386603117   TIMDs:801
Time:117.497052908   TIMDs:1070
Time:89.6300740242   TIMDs:1344
Time:77.7668859959   TIMDs:1619
Time:94.4819059372   TIMDs:1894
Time:92.6339409351   TIMDs:2173
Time:70.1543319225   TIMDs:2452
Time:38.4571049213   TIMDs:280
